Elevation,Area(acres),Volume(acre-feet)
4330.4,11048.92,362279.69
4330.5,11068.06,363385.53
4330.6,11087.2,364493.31
4330.7,11106.33,365603
4330.8,11125.47,366714.56
4330.9,11144.6,367828.09
4331,11163.74,368943.53
4331.1,11182.88,370060.81
4331.2,11202.01,371180.09
4331.3,11221.15,372301.19
4331.4,11240.28,373424.31
4331.5,11259.42,374549.28
4331.6,11278.55,375676.19
4331.7,11297.69,376805
4331.8,11316.83,377935.72
4331.9,11335.96,379068.38
4332,11355.1,380202.91
4332.1,11372.17,381339.28
4332.2,11389.24,382477.38
4332.3,11406.31,383617.12
4332.4,11423.38,384758.59
4332.5,11440.45,385901.81
4332.6,11457.52,387046.69
4332.7,11474.59,388193.31
4332.8,11491.66,389341.62
4332.9,11508.73,390491.62
4333,11525.8,391643.38
4333.1,11542.87,392796.81
4333.2,11559.94,393951.91
4333.3,11577.01,395108.81
4333.4,11594.08,396267.38
4333.5,11611.15,397427.59
4333.6,11628.22,398589.56
4333.7,11645.29,399753.25
4333.8,11662.36,400918.62
4333.9,11679.43,402085.72
4334,11696.5,403254.47
4334.1,11724.21,404425.53
4334.2,11751.91,405599.38
4334.3,11779.6,406775.91
4334.4,11807.29,407955.25
4334.5,11834.98,409137.38
4334.6,11862.68,410322.25
4334.7,11890.37,411509.91
4334.8,11918.06,412700.31
4334.9,11945.75,413893.53
4335,11973.45,415089.47
4335.1,12001.14,416288.19
4335.2,12028.83,417489.72
4335.3,12056.53,418693.97
4335.4,12084.22,419901
4335.5,12111.91,421110.81
4335.6,12139.6,422323.41
4335.7,12167.3,423538.75
4335.8,12194.99,424756.84
4335.9,12222.68,425977.75
4336,12250.38,427201.38
4336.1,12275.12,428427.62
4336.2,12299.88,429656.41
4336.3,12324.63,430887.62
4336.4,12349.39,432121.38
4336.5,12374.15,433357.53
4336.6,12398.91,434596.16
4336.7,12423.66,435837.28
4336.8,12448.42,437080.91
4336.9,12473.17,438326.97
4337,12497.93,439575.53
4337.1,12522.69,440826.56
4337.2,12547.45,442080.09
4337.3,12572.2,443336.09
4337.4,12596.96,444594.47
4337.5,12621.71,445855.44
4337.6,12646.47,447118.84
4337.7,12671.23,448384.72
4337.8,12695.99,449653.09
4337.9,12720.74,450923.91
4338,12745.5,452197.25
4338.1,12769.17,453472.97
4338.2,12792.84,454751.09
4338.3,12816.51,456031.53
4338.4,12840.18,457314.38
4338.5,12863.85,458599.59
4338.6,12887.52,459887.16
4338.7,12911.18,461177.09
4338.8,12934.86,462469.38
4338.9,12958.53,463764.09
4339,12982.19,465061.09
4339.1,13005.86,466360.47
4339.2,13029.53,467662.25
4339.3,13053.2,468966.41
4339.4,13076.87,470272.91
4339.5,13100.54,471581.81
4339.6,13124.21,472893
4339.7,13147.88,474206.62
4339.8,13171.55,475522.59
4339.9,13195.22,476840.91
4340,13218.89,478161.62
4340.1,13239.32,479484.53
4340.2,13259.74,480809.53
4340.3,13280.16,482136.47
4340.4,13300.58,483465.53
4340.5,13321,484796.59
4340.6,13341.41,486129.72
4340.7,13361.83,487464.88
4340.8,13382.25,488802.09
4340.9,13402.67,490141.38
4341,13423.08,491482.62
4341.1,13443.5,492825.91
4341.2,13463.92,494171.31
4341.3,13484.34,495518.75
4341.4,13504.75,496868.19
4341.5,13525.17,498219.69
4341.6,13545.59,499573.19
4341.7,13566.01,500928.81
4341.8,13586.43,502286.44
4341.9,13606.84,503646.09
4342,13627.26,505007.81
4342.1,13646.47,506371.47
4342.2,13665.66,507737.09
4342.3,13684.86,509104.59
4342.4,13704.05,510474.03
4342.5,13723.25,511845.41
4342.6,13742.44,513218.69
4342.7,13761.64,514593.91
4342.8,13780.83,515971.03
4342.9,13800.03,517350.09
4343,13819.22,518731.03
4343.1,13838.42,520113.91
4343.2,13857.62,521498.72
4343.3,13876.81,522885.44
4343.4,13896.01,524274.09
4343.5,13915.2,525664.62
4343.6,13934.39,527057.12
4343.7,13953.59,528451.5
4343.8,13972.79,529847.81
4343.9,13991.98,531246.06
4344,14011.18,532646.25
4344.1,14028.91,534048.25
4344.2,14046.64,535452.06
4344.3,14064.37,536857.56
4344.4,14082.1,538264.94
4344.5,14099.83,539674
4344.6,14117.55,541084.88
4344.7,14135.28,542497.5
4344.8,14153.01,543911.94
4344.9,14170.74,545328.12
4345,14188.46,546746.06
4345.1,14206.19,548165.81
4345.2,14223.92,549587.31
4345.3,14241.65,551010.62
4345.4,14259.38,552435.62
4345.5,14277.11,553862.5
4345.6,14294.83,555291.06
4345.7,14312.56,556721.44
4345.8,14330.29,558153.56
4345.9,14348.01,559587.5
4346,14365.74,561023.19
4346.1,14382.55,562460.62
4346.2,14399.37,563899.69
4346.3,14416.19,565340.5
4346.4,14433.01,566782.94
4346.5,14449.83,568227.06
4346.6,14466.65,569672.94
4346.7,14483.47,571120.44
4346.8,14500.29,572569.62
4346.9,14517.11,574020.5
4347,14533.93,575473
4347.1,14550.76,576927.25
4347.2,14567.58,578383.19
4347.3,14584.4,579840.75
4347.4,14601.22,581300.06
4347.5,14618.04,582761
4347.6,14634.86,584223.69
4347.7,14651.68,585688
4347.8,14668.5,587154
4347.9,14685.32,588621.69
4348,14702.14,590091.06
4348.1,14717.66,591562.06
4348.2,14733.2,593034.62
4348.3,14748.74,594508.69
4348.4,14764.28,595984.38
4348.5,14779.82,597461.56
4348.6,14795.36,598940.31
4348.7,14810.89,600420.62
4348.8,14826.43,601902.5
4348.9,14841.97,603385.94
4349,14857.51,604870.88
4349.1,14873.05,606357.44
4349.2,14888.59,607845.5
4349.3,14904.13,609335.12
4349.4,14919.67,610826.31
4349.5,14935.21,612319.06
4349.6,14950.75,613813.38
4349.7,14966.29,615309.25
4349.8,14981.83,616806.62
4349.9,14997.37,618305.56
4350,15012.91,619806.12
4350.1,15038.58,621308.69
4350.2,15064.25,622813.81
4350.3,15089.92,624321.56
4350.4,15115.58,625831.81
4350.5,15141.25,627344.69
4350.6,15166.92,628860.06
4350.7,15192.59,630378.06
4350.8,15218.26,631898.56
4350.9,15243.93,633421.69
4351,15269.6,634947.38
4351.1,15295.27,636475.62
4351.2,15320.94,638006.44
4351.3,15346.61,639539.81
4351.4,15372.28,641075.75
4351.5,15397.95,642614.25
4351.6,15423.62,644155.31
4351.7,15449.29,645699
4351.8,15474.96,647245.19
4351.9,15500.62,648794
4352,15526.29,650345.31
4352.1,15556.17,651899.44
4352.2,15586.12,653456.56
4352.3,15616.06,655016.69
4352.4,15646,656579.75
4352.5,15675.94,658145.88
4352.6,15705.88,659714.94
4352.7,15735.82,661287.06
4352.8,15765.76,662862.12
4352.9,15795.71,664440.19
4353,15825.65,666021.25
4353.1,15855.59,667605.31
4353.2,15885.53,669192.38
4353.3,15915.47,670782.44
4353.4,15945.42,672375.5
4353.5,15975.36,673971.5
4353.6,16005.3,675570.56
4353.7,16035.24,677172.56
4353.8,16065.18,678777.62
4353.9,16095.12,680385.62
4354,16125.07,681996.62
4354.1,16150.49,683610.38
4354.2,16175.93,685226.75
4354.3,16201.38,686845.62
4354.4,16226.83,688467.06
4354.5,16252.28,690090.94
4354.6,16277.72,691717.44
4354.7,16303.17,693346.5
4354.8,16328.62,694978.06
4354.9,16354.06,696612.19
4355,16379.51,698248.88
4355.1,16404.96,699888.19
4355.2,16430.4,701529.81
4355.3,16455.85,703174.19
4355.4,16481.29,704821.06
4355.5,16506.74,706470.38
4355.6,16532.19,708122.38
4355.7,16557.64,709776.88
4355.8,16583.08,711433.94
4355.9,16608.53,713093.5
4356,16633.98,714755.62
4356.1,16664.84,716420.56
4356.2,16695.71,718088.62
4356.3,16726.58,719759.69
4356.4,16757.45,721433.94
4356.5,16788.32,723111.19
4356.6,16819.19,724791.62
4356.7,16850.05,726475.06
4356.8,16880.92,728161.62
4356.9,16911.79,729851.25
4357,16942.66,731543.94
4357.1,16973.53,733239.75
4357.2,17004.4,734938.62
4357.3,17035.27,736640.62
4357.4,17066.13,738345.69
4357.5,17097,740053.81
4357.6,17127.87,741765.12
4357.7,17158.74,743479.44
4357.8,17189.61,745196.88
4357.9,17220.48,746917.38
4358,17251.35,748640.94
4358.1,17292.98,750368.19
4358.2,17334.69,752099.62
4358.3,17376.39,753835.12
4358.4,17418.1,755574.81
4358.5,17459.8,757318.75
4358.6,17501.51,759066.81
4358.7,17543.21,760819.06
4358.8,17584.92,762575.44
4358.9,17626.63,764336
4359,17668.33,766100.75
4359.1,17710.04,767869.69
4359.2,17751.74,769642.75
4359.3,17793.45,771420
4359.4,17835.16,773201.44
4359.5,17876.86,774987.06
4359.6,17918.57,776776.81
4359.7,17960.27,778570.75
4359.8,18001.98,780368.88
4359.9,18043.69,782171.19
4360,18085.39,783977.62
4360.1,18118.92,785787.81
4360.2,18152.45,787601.38
4360.3,18185.98,789418.31
4360.4,18219.51,791238.62
4360.5,18253.04,793062.25
4360.6,18286.57,794889.19
4360.7,18320.1,796719.62
4360.8,18353.63,798553.25
4360.9,18387.16,800390.25
4361,18420.69,802230.62
4361.1,18454.22,804074.38
4361.2,18487.75,805921.5
4361.3,18521.28,807771.94
4361.4,18554.81,809625.75
4361.5,18588.34,811482.94
4361.6,18621.87,813343.44
4361.7,18655.4,815207.25
4361.8,18688.93,817074.5
4361.9,18722.46,818945.06
4362,18755.99,820819.06
4362.1,18784.3,822696
4362.2,18812.61,824575.81
4362.3,18840.92,826458.56
4362.4,18869.23,828344.06
4362.5,18897.54,830232.38
4362.6,18925.85,832123.62
4362.7,18954.16,834017.62
4362.8,18982.46,835914.38
4362.9,19010.77,837814.06
4363,19039.08,839716.56
4363.1,19067.39,841621.81
4363.2,19095.7,843530
4363.3,19124.01,845440.94
4363.4,19152.32,847354.81
4363.5,19180.62,849271.5
4363.6,19208.93,851190.94
4363.7,19237.24,853113.25
4363.8,19265.55,855038.38
4363.9,19293.86,856966.38
4364,19322.17,858897.19
4364.1,19349.87,860830.81
4364.2,19377.57,862767.19
4364.3,19405.27,864706.31
4364.4,19432.98,866648.25
4364.5,19460.68,868592.88
4364.6,19488.38,870540.38
4364.7,19516.08,872490.56
4364.8,19543.79,874443.62
4364.9,19571.49,876399.25
4365,19599.19,878357.81
4365.1,19626.89,880319.19
4365.2,19654.6,882283.25
4365.3,19682.3,884250.06
4365.4,19710,886219.69
4365.5,19737.7,888192.06
4365.6,19765.4,890167.25
4365.7,19793.11,892145.19
4365.8,19820.81,894125.81
4365.9,19848.51,896109.25
4366,19876.21,898095.62
4366.1,19910.15,900084.88
4366.2,19944.11,902077.62
4366.3,19978.08,904073.69
4366.4,20012.04,906073.19
4366.5,20046.01,908076.19
4366.6,20079.97,910082.38
4366.7,20113.94,912092.19
4366.8,20147.9,914105.19
4366.9,20181.86,916121.69
4367,20215.83,918141.62
4367.1,20249.79,920164.88
4367.2,20283.76,922191.62
4367.3,20317.72,924221.62
4367.4,20351.69,926255.06
4367.5,20385.65,928291.94
4367.6,20419.62,930332.19
4367.7,20453.58,932375.81
4367.8,20487.54,934422.94
4367.9,20521.51,936473.38
4368,20555.47,938527.25
4368.1,20585.46,940584.31
4368.2,20615.47,942644.31
4368.3,20645.48,944707.38
4368.4,20675.5,946773.44
4368.5,20705.51,948842.5
4368.6,20735.52,950914.56
4368.7,20765.53,952989.62
4368.8,20795.54,955067.62
4368.9,20825.56,957148.75
4369,20855.57,959232.75
4369.1,20885.58,961319.81
4369.2,20915.59,963409.81
4369.3,20945.61,965502.94
4369.4,20975.62,967599.06
4369.5,21005.63,969698.06
4369.6,21035.64,971800.19
4369.7,21065.65,973905.19
4369.8,21095.67,976013.25
4369.9,21125.68,978124.31
4370,21155.69,980238.38
4370.1,21186.31,982355.5
4370.2,21216.96,984475.62
4370.3,21247.62,986598.88
4370.4,21278.27,988725.19
4370.5,21308.93,990854.5
4370.6,21339.58,992986.94
4370.7,21370.23,995122.38
4370.8,21400.89,997260.94
4370.9,21431.54,999402.62
4371,21462.2,1001547.25
4371.1,21492.85,1003695.06
4371.2,21523.51,1005845.81
4371.3,21554.16,1007999.75
4371.4,21584.81,1010156.75
4371.5,21615.47,1012316.75
4371.6,21646.12,1014479.81
4371.7,21676.78,1016645.94
4371.8,21707.43,1018815.19
4371.9,21738.09,1020987.44
4372,21768.74,1023162.75
4372.1,21805.76,1025341.5
4372.2,21842.77,1027523.81
4372.3,21879.79,1029710
4372.4,21916.8,1031899.81
4372.5,21953.81,1034093.38
4372.6,21990.82,1036290.62
4372.7,22027.83,1038491.62
4372.8,22064.84,1040696.19
4372.9,22101.85,1042904.5
4373,22138.86,1045116.56
4373.1,22175.87,1047332.31
4373.2,22212.88,1049551.75
4373.3,22249.9,1051774.88
4373.4,22286.9,1054001.75
4373.5,22323.92,1056232.25
4373.6,22360.93,1058466.5
4373.7,22397.94,1060704.38
4373.8,22434.95,1062946.12
4373.9,22471.96,1065191.38
4374,22508.97,1067440.5
4374.1,22542.38,1069693.12
4374.2,22575.81,1071949
4374.3,22609.23,1074208.25
4374.4,22642.65,1076470.88
4374.5,22676.08,1078736.75
4374.6,22709.51,1081006
4374.7,22742.93,1083278.62
4374.8,22776.35,1085554.62
4374.9,22809.78,1087834
4375,22843.2,1090116.62
4375.1,22876.62,1092402.62
4375.2,22910.05,1094691.88
4375.3,22943.47,1096984.62
4375.4,22976.89,1099280.62
4375.5,23010.32,1101580
4375.6,23043.74,1103882.62
4375.7,23077.16,1106188.75
4375.8,23110.59,1108498.12
4375.9,23144.01,1110810.88
4376,23177.44,1113126.88
4376.1,23215.55,1115446.5
4376.2,23253.68,1117770
4376.3,23291.8,1120097.25
4376.4,23329.92,1122428.38
4376.5,23368.05,1124763.25
4376.6,23406.17,1127102
4376.7,23444.3,1129444.5
4376.8,23482.42,1131790.88
4376.9,23520.54,1134141
4377,23558.67,1136494.88
4377.1,23596.79,1138852.75
4377.2,23634.92,1141214.25
4377.3,23673.04,1143579.62
4377.4,23711.17,1145948.88
4377.5,23749.29,1148321.88
4377.6,23787.42,1150698.75
4377.7,23825.54,1153079.38
4377.8,23863.67,1155463.88
4377.9,23901.79,1157852.12
4378,23939.91,1160244.25
4378.1,23975.96,1162640
4378.2,24011.84,1165039.38
4378.3,24047.71,1167442.38
4378.4,24083.59,1169849
4378.5,24119.47,1172259.12
4378.6,24155.35,1174672.88
4378.7,24191.22,1177090.12
4378.8,24227.1,1179511.12
4378.9,24262.98,1181935.62
4379,24298.86,1184363.75
4379.1,24334.73,1186795.38
4379.2,24370.61,1189230.62
4379.3,24406.49,1191669.5
4379.4,24442.37,1194111.88
4379.5,24478.24,1196558
4379.6,24514.12,1199007.62
4379.7,24550,1201460.75
4379.8,24585.88,1203917.62
4379.9,24621.75,1206378
4380,24657.63,1208841.88
4380.1,24690.6,1211309.25
4380.2,24723.44,1213780
4380.3,24756.28,1216254
4380.4,24789.13,1218731.25
4380.5,24821.97,1221211.75
4380.6,24854.82,1223695.62
4380.7,24887.66,1226182.75
4380.8,24920.51,1228673.12
4380.9,24953.35,1231166.88
4381,24986.2,1233663.88
4381.1,25019.04,1236164.12
4381.2,25051.89,1238667.62
4381.3,25084.73,1241174.5
4381.4,25117.58,1243684.62
4381.5,25150.43,1246198
4381.6,25183.27,1248714.62
4381.7,25216.12,1251234.62
4381.8,25248.96,1253757.88
4381.9,25281.8,1256284.5
4382,25314.65,1258814.25
4382.1,25351.12,1261347.5
4382.2,25387.41,1263884.5
4382.3,25423.7,1266425
4382.4,25459.98,1268969.12
4382.5,25496.27,1271517
4382.6,25532.56,1274068.5
4382.7,25568.85,1276623.5
4382.8,25605.13,1279182.25
4382.9,25641.42,1281744.5
4383,25677.71,1284310.5
4383.1,25713.99,1286880.12
4383.2,25750.28,1289453.25
4383.3,25786.57,1292030.12
4383.4,25822.85,1294610.62
4383.5,25859.14,1297194.75
4383.6,25895.43,1299782.38
4383.7,25931.71,1302373.75
4383.8,25968.01,1304968.75
4383.9,26004.29,1307567.38
4384,26040.58,1310169.62
4384.1,26075.12,1312775.38
4384.2,26109.56,1315384.62
4384.3,26143.99,1317997.38
4384.4,26178.43,1320613.5
4384.5,26212.87,1323233
4384.6,26247.3,1325856
4384.7,26281.74,1328482.5
4384.8,26316.17,1331112.38
4384.9,26350.61,1333745.75
4385,26385.04,1336382.5
4385.1,26419.48,1339022.75
4385.2,26453.91,1341666.38
4385.3,26488.35,1344313.5
4385.4,26522.79,1346964
4385.5,26557.22,1349617.88
4385.6,26591.66,1352275.5
4385.7,26626.1,1354936.38
4385.8,26660.53,1357600.75
4385.9,26694.97,1360268.5
4386,26729.4,1362939.62
4386.1,26759.37,1365614.25
4386.2,26789.31,1368291.62
4386.3,26819.24,1370972
4386.4,26849.19,1373655.5
4386.5,26879.13,1376341.88
4386.6,26909.07,1379031.25
4386.7,26939.01,1381723.62
4386.8,26968.95,1384419.25
4386.9,26998.89,1387117.5
4387,27028.83,1389818.88
4387.1,27058.77,1392523.25
4387.2,27088.71,1395230.5
4387.3,27118.65,1397941
4387.4,27148.59,1400654.38
4387.5,27178.53,1403370.75
4387.6,27208.47,1406090.12
4387.7,27238.41,1408812.38
4387.8,27268.35,1411537.75
4387.9,27298.29,1414266.12
4388,27328.23,1416997.5
4388.1,27363.9,1419732
4388.2,27399.58,1422470.12
4388.3,27435.26,1425211.88
4388.4,27470.94,1427957.25
4388.5,27506.62,1430706.12
4388.6,27542.3,1433458.5
4388.7,27577.98,1436214.5
4388.8,27613.66,1438974.12
4388.9,27649.35,1441737.25
4389,27685.03,1444504
4389.1,27720.71,1447274.25
4389.2,27756.39,1450048.12
4389.3,27792.07,1452825.5
4389.4,27827.76,1455606.5
4389.5,27863.44,1458391.25
4389.6,27899.12,1461179.25
4389.7,27934.8,1463970.88
4389.8,27970.48,1466766.25
4389.9,28006.16,1469565
4390,28041.85,1472367.38
4390.1,28079.8,1475173.5
4390.2,28117.78,1477983.38
4390.3,28155.76,1480797
4390.4,28193.74,1483614.5
4390.5,28231.72,1486435.62
4390.6,28269.7,1489260.75
4390.7,28307.68,1492089.75
4390.8,28345.66,1494922.38
4390.9,28383.64,1497758.88
4391,28421.62,1500599.25
4391.1,28459.6,1503443.25
4391.2,28497.58,1506291
4391.3,28535.56,1509142.75
4391.4,28573.54,1511998.12
4391.5,28611.52,1514857.5
4391.6,28649.5,1517720.5
4391.7,28687.48,1520587.25
4391.8,28725.46,1523457.88
4391.9,28763.44,1526332.38
4392,28801.42,1529210.5
4392.1,28842.76,1532092.75
4392.2,28884.07,1534979.25
4392.3,28925.38,1537869.62
4392.4,28966.69,1540764.38
4392.5,29008,1543663
4392.6,29049.31,1546565.88
4392.7,29090.62,1549472.75
4392.8,29131.93,1552384
4392.9,29173.24,1555299.25
4393,29214.55,1558218.5
4393.1,29255.86,1561142.12
4393.2,29297.18,1564069.75
4393.3,29338.48,1567001.62
4393.4,29379.79,1569937.5
4393.5,29421.1,1572877.5
4393.6,29462.41,1575821.75
4393.7,29503.72,1578769.88
4393.8,29545.03,1581722.5
4393.9,29586.35,1584679
4394,29627.65,1587639.62
4394.1,29670.01,1590604.62
4394.2,29712.43,1593573.75
4394.3,29754.84,1596547.25
4394.4,29797.24,1599524.75
4394.5,29839.65,1602506.5
4394.6,29882.07,1605492.62
4394.7,29924.48,1608483
4394.8,29966.89,1611477.5
4394.9,30009.3,1614476.38
4395,30051.71,1617479.38
4395.1,30094.12,1620486.75
4395.2,30136.53,1623498.25
4395.3,30178.94,1626513.88
4395.4,30221.35,1629534.12
4395.5,30263.76,1632558.25
4395.6,30306.18,1635586.75
4395.7,30348.59,1638619.5
4395.8,30390.99,1641656.5
4395.9,30433.4,1644697.75
4396,30475.82,1647743.25
4396.1,30521.78,1650793
4396.2,30567.77,1653847.5
4396.3,30613.76,1656906.5
4396.4,30659.74,1659970.25
4396.5,30705.73,1663038.5
4396.6,30751.72,1666111.38
4396.7,30797.71,1669188.75
4396.8,30843.7,1672270.88
4396.9,30889.68,1675357.62
4397,30935.67,1678448.75
4397.1,30981.66,1681544.75
4397.2,31027.64,1684645.12
4397.3,31073.63,1687750.25
4397.4,31119.62,1690859.88
4397.5,31165.61,1693974.12
4397.6,31211.6,1697093
4397.7,31257.58,1700216.5
4397.8,31303.57,1703344.5
4397.9,31349.56,1706477.25
4398,31395.54,1709614.5
4398.1,31439.35,1712756.38
4398.2,31483.14,1715902.38
4398.3,31526.93,1719052.75
4398.4,31570.72,1722207.62
4398.5,31614.51,1725367
4398.6,31658.3,1728530.5
4398.7,31702.09,1731698.5
4398.8,31745.88,1734871.25
4398.9,31789.66,1738047.88
4399,31833.46,1741229
4399.1,31877.24,1744414.5
4399.2,31921.04,1747604.5
4399.3,31964.82,1750798.75
4399.4,32008.62,1753997.5
4399.5,32052.4,1757200.5
4399.6,32096.2,1760407.88
4399.7,32139.98,1763619.62
4399.8,32183.77,1766835.88
4399.9,32227.56,1770056.5
4400,32271.35,1773281.5
4400.1,32321.26,1776509.62
4400.2,32366.95,1779744
4400.3,32412.63,1782983
4400.4,32458.31,1786226.5
4400.5,32504,1789474.75
4400.6,32549.68,1792727.38
4400.7,32595.37,1795984.62
4400.8,32641.05,1799246.5
4400.9,32686.73,1802512.75
4401,32732.42,1805783.62
4401.1,32778.1,1809059.38
4401.2,32823.79,1812339.38
4401.3,32869.47,1815624.12
4401.4,32915.15,1818913.5
4401.5,32960.84,1822207.25
4401.6,33006.52,1825505.5
4401.7,33052.21,1828808.38
4401.8,33097.89,1832115.88
4401.9,33143.57,1835428
4402,33189.26,1838744.62
4402.1,33234.94,1842065.88
4402.2,33280.62,1845391.62
4402.3,33326.31,1848721.88
4402.4,33371.99,1852056.75
4402.5,33417.68,1855396.38
4402.6,33463.36,1858740.38
4402.7,33509.04,1862089
4402.8,33554.73,1865442.25
4402.9,33600.41,1868800
4403,33646.1,1872162.38
4403.1,33691.78,1875529.25
4403.2,33737.46,1878900.62
4403.3,33783.15,1882276.75
4403.4,33828.83,1885657.25
4403.5,33874.52,1889042.5
4403.6,33920.2,1892432.38
4403.7,33965.88,1895826.5
4403.8,34011.57,1899225.5
4403.9,34057.25,1902628.75
4404,34102.93,1906036.75
4404.1,34156.23,1909448
4404.2,34213.72,1912866.5
4404.3,34271.21,1916290.75
4404.4,34328.69,1919720.75
4404.5,34386.18,1923156.5
4404.6,34443.66,1926598.12
4404.7,34501.15,1930045.25
4404.8,34558.63,1933498.25
4404.9,34616.12,1936957
4405,34673.61,1940421.5
4405.1,34731.09,1943891.62
4405.2,34788.58,1947367.62
4405.3,34846.06,1950849.5
4405.4,34903.55,1954336.75
4405.5,34961.03,1957830.12
4405.6,35018.52,1961329.12
4405.7,35076,1964833.75
4405.8,35133.49,1968344.38
4405.9,35190.98,1971860.5
4406,35248.46,1975382.5
4406.1,35302.32,1978910.12
4406.2,35356.11,1982443
4406.3,35409.91,1985981.25
4406.4,35463.7,1989524.75
4406.5,35517.49,1993073.88
4406.6,35571.28,1996628.38
4406.7,35625.07,2000188.38
4406.8,35678.86,2003753.5
4406.9,35732.65,2007324
4407,35786.45,2010900
4407.1,35840.23,2014481.25
4407.2,35894.03,2018068
4407.3,35947.82,2021660.12
4407.4,36001.61,2025257.62
4407.5,36055.4,2028860.38
4407.6,36109.19,2032468.62
4407.7,36162.98,2036082.25
4407.8,36216.77,2039701.25
4407.9,36270.57,2043325.62
4408,36324.36,2046955.38
4408.1,36380.41,2050590.5
4408.2,36436.34,2054231.5
4408.3,36492.28,2057877.88
4408.4,36548.21,2061529.88
4408.5,36604.15,2065187.5
4408.6,36660.09,2068850.75
4408.7,36716.02,2072519.5
4408.8,36771.96,2076193.88
4408.9,36827.89,2079873.88
4409,36883.83,2083559.5
4409.1,36939.76,2087250.75
4409.2,36995.7,2090947.5
4409.3,37051.63,2094649.88
4409.4,37107.57,2098357.75
4409.5,37163.5,2102071.25
4409.6,37219.44,2105790.5
4409.7,37275.38,2109515.25
4409.8,37331.31,2113245.5
4409.9,37387.25,2116981.5
4410,37443.18,2120723
4410.1,37505.16,2124470.5
4410.2,37567.1,2128224
4410.3,37629.04,2131983.75
4410.4,37690.98,2135749.75
4410.5,37752.92,2139522
4410.6,37814.86,2143300.5
4410.7,37876.8,2147085
4410.8,37938.74,2150875.75
4410.9,38000.68,2154672.75
4411,38062.62,2158476
4411.1,38124.55,2162285.25
4411.2,38186.5,2166100.75
4411.3,38248.43,2169922.5
4411.4,38310.38,2173750.5
4411.5,38372.31,2177584.75
4411.6,38434.25,2181425
4411.7,38496.2,2185271.5
4411.8,38558.13,2189124.25
4411.9,38620.07,2192983
4412,38682.01,2196848.25
4412.1,38755.99,2200720.25
4412.2,38830.31,2204599.5
4412.3,38904.63,2208486.25
4412.4,38978.95,2212380.5
4412.5,39053.27,2216282
4412.6,39127.59,2220191
4412.7,39201.91,2224107.5
4412.8,39276.23,2228031.5
4412.9,39350.55,2231962.75
4413,39424.87,2235901.5
4413.1,39499.19,2239847.75
4413.2,39573.51,2243801.5
4413.3,39647.83,2247762.5
4413.4,39722.15,2251731
4413.5,39796.47,2255707
4413.6,39870.79,2259690.25
4413.7,39945.11,2263681
4413.8,40019.43,2267679.25
4413.9,40093.75,2271685
4414,40168.07,2275698
